station,horizon,n_overlap,stat_overlap_10,pval_overlap_10,n_non_overlap,stat_non_10,pval_non_10,stat_non_24,pval_non_24,is_sig_non
hyderabad,1h,3867,4179.4,0.0,162,75.45,3.880796286291829e-12,95.38,1.818992747134295e-10,True
hyderabad,3h,3867,5206.7,0.0,162,12.01,0.28436019567048904,28.79,0.22814446911343625,False
hyderabad,6h,3867,4433.6,0.0,162,8.06,0.6234229018902349,14.5,0.9345730514013338,False
bangalore,1h,3867,1947.7,0.0,162,88.19,1.223783578647276e-14,114.69,8.482231899850708e-14,True
bangalore,3h,3867,4564.3,0.0,162,13.34,0.2052137315274215,24.82,0.4154765394539067,False
bangalore,6h,3867,3258.7,0.0,162,79.51,6.25230707508977e-13,135.26,1.7167225054149293e-17,True
lucknow,1h,3867,4368.3,0.0,162,110.88,3.54825844708765e-19,124.14,1.7676193374616912e-15,True
lucknow,3h,3867,3487.8,0.0,162,104.71,6.1848903715261655e-18,123.55,2.2480618274897e-15,True
lucknow,6h,3867,4756.6,0.0,162,20.65,0.0236654675460007,45.03,0.005783358579603643,True
colombo,1h,3867,2592.9,0.0,162,31.26,0.0005304697370779994,53.88,0.00044290102063420864,True
colombo,3h,3867,4263.5,0.0,162,61.21,2.137406971179506e-09,82.16,2.7477298349764436e-08,True
colombo,6h,3867,3997.8,0.0,162,59.53,4.445468822128826e-09,72.77,8.263037405989902e-07,True
