station,horizon,q_adaptive,mean_calm_w,mean_storm_w,target_coverage,cov_overall_pct,cov_calm_pct,cov_storm_pct,storm_deficit
hyderabad,1h,10.803,11.65,33.48,95.0,94.65,94.52,100.0,-5.0
hyderabad,3h,18.285,19.71,56.66,95.0,93.79,93.64,100.0,-5.0
hyderabad,6h,20.896,22.53,64.75,95.0,94.47,94.44,95.7,-0.7
bangalore,1h,11.152,12.02,34.56,95.0,96.12,96.03,100.0,-5.0
bangalore,3h,16.612,17.91,51.48,95.0,95.97,95.87,100.0,-5.0
bangalore,6h,16.942,18.27,52.5,95.0,95.19,95.07,100.0,-5.0
lucknow,1h,17.416,18.78,53.97,95.0,94.85,94.78,97.85,-2.85
lucknow,3h,25.697,27.71,79.63,95.0,96.25,96.16,100.0,-5.0
lucknow,6h,31.138,33.57,96.49,95.0,95.32,95.2,100.0,-5.0
colombo,1h,11.073,11.94,34.31,95.0,93.97,93.83,100.0,-5.0
colombo,3h,16.277,17.55,50.44,95.0,95.11,95.05,97.85,-2.85
colombo,6h,17.128,18.47,53.07,95.0,93.72,93.56,100.0,-5.0
