station,horizon,n_storm_oof,q_global,cov_global_pct,q_storm_val,cov_val_pct,q_storm_oof_flat,cov_oof_flat_pct,q_base_f107,mean_q_f107_test,cov_oof_f107_pct,r2_f107,pval_f107,f107_helps
hyderabad,1h,300,11.22,81.7,15.92,90.3,7.57,67.7,6.38,9.55,77.4,0.0131,0.0475,True
hyderabad,3h,300,18.95,76.3,26.36,87.1,12.86,52.7,10.04,15.04,58.1,0.0897,0.0,True
hyderabad,6h,300,21.46,68.8,23.71,74.2,20.18,67.7,15.51,23.23,73.1,0.0351,0.0011,True
bangalore,1h,300,12.03,87.1,13.76,89.2,8.64,74.2,7.36,11.02,81.7,0.0321,0.0018,True
bangalore,3h,300,17.6,81.7,20.24,88.2,13.88,69.9,10.8,16.18,78.5,0.0587,0.0,True
bangalore,6h,300,17.45,74.2,25.6,89.2,15.43,68.8,12.43,18.62,74.2,0.033,0.0016,True
lucknow,1h,300,19.53,86.0,24.07,88.2,9.16,63.4,7.8,11.68,75.3,0.0294,0.0029,True
lucknow,3h,300,29.2,83.9,25.02,80.6,19.8,77.4,14.99,22.45,77.4,0.0416,0.0004,False
lucknow,6h,300,31.16,87.1,20.66,84.9,18.27,76.3,16.86,25.25,86.0,0.0336,0.0014,True
colombo,1h,300,12.07,77.4,23.37,96.8,7.92,58.1,6.19,9.27,65.6,0.0318,0.0019,True
colombo,3h,300,17.65,72.0,21.78,81.7,14.47,63.4,10.47,15.69,66.7,0.036,0.001,True
colombo,6h,300,17.64,63.4,29.0,87.1,14.05,51.6,11.47,17.18,60.2,0.0245,0.0066,True
