station,horizon,q_global,q_calm,q_storm_val,n_storm_pooled,q_storm_pooled,calm_cov_pct,storm_cov_glob,storm_cov_val,storm_cov_pooled
hyderabad,1h,11.22,11.28,15.92,300,5.96,93.5,81.7,90.3,59.1
hyderabad,3h,18.95,18.98,26.36,300,9.75,92.8,76.3,87.1,37.6
hyderabad,6h,21.46,21.48,23.71,300,13.6,93.5,68.8,74.2,51.6
bangalore,1h,12.03,12.08,13.76,300,6.01,95.6,87.1,89.2,59.1
bangalore,3h,17.6,17.31,20.24,300,10.01,94.4,81.7,88.2,57.0
bangalore,6h,17.45,17.31,25.6,300,10.79,94.2,74.2,89.2,55.9
lucknow,1h,19.53,19.53,24.07,300,7.55,95.2,86.0,88.2,55.9
lucknow,3h,29.2,29.36,25.02,300,13.72,95.9,83.9,80.6,65.6
lucknow,6h,31.16,31.25,20.66,300,13.2,93.6,87.1,84.9,66.7
colombo,1h,12.07,11.93,23.37,300,5.96,93.2,77.4,96.8,49.5
colombo,3h,17.65,17.58,21.78,300,11.2,94.7,72.0,81.7,52.7
colombo,6h,17.64,17.42,29.0,300,11.72,92.1,63.4,87.1,48.4
