station,horizon,quintile,bin_range,mean_tec,rmse,mae,n_samples
hyderabad,1h,Q1 (Lowest),[-25.8 - 11.4],-0.36,7.803,3.737,774
hyderabad,1h,Q2,[11.4 - 41.5],26.19,7.376,4.337,773
hyderabad,1h,Q3,[41.5 - 68.8],55.3,6.918,5.101,773
hyderabad,1h,Q4,[68.8 - 98.9],83.51,7.078,5.408,773
hyderabad,1h,Q5 (Highest),[98.9 - 159.7],118.58,6.045,4.748,774
hyderabad,3h,Q1 (Lowest),[-25.8 - 11.4],-0.28,10.314,6.525,774
hyderabad,3h,Q2,[11.4 - 41.1],26.02,9.856,7.265,773
hyderabad,3h,Q3,[41.1 - 68.6],54.97,11.178,8.565,773
hyderabad,3h,Q4,[68.6 - 98.7],83.3,11.864,9.44,773
hyderabad,3h,Q5 (Highest),[98.7 - 159.7],118.51,11.832,8.732,774
hyderabad,6h,Q1 (Lowest),[-25.8 - 10.8],-0.56,15.991,8.802,774
hyderabad,6h,Q2,[10.8 - 40.5],25.19,12.125,8.048,773
hyderabad,6h,Q3,[40.5 - 68.5],54.57,12.827,10.307,773
hyderabad,6h,Q4,[68.5 - 98.1],82.99,12.8,9.906,773
hyderabad,6h,Q5 (Highest),[98.1 - 159.7],118.16,12.013,9.226,774
bangalore,1h,Q1 (Lowest),[-6.3 - 23.8],11.74,4.881,3.368,774
bangalore,1h,Q2,[23.8 - 49.8],36.93,6.451,4.527,773
bangalore,1h,Q3,[49.8 - 75.0],62.03,6.614,4.991,773
bangalore,1h,Q4,[75.0 - 105.5],90.56,6.397,4.816,773
bangalore,1h,Q5 (Highest),[105.5 - 162.4],122.22,6.175,4.7,774
bangalore,3h,Q1 (Lowest),[-6.3 - 24.4],12.09,7.645,5.363,774
bangalore,3h,Q2,[24.4 - 49.7],37.13,8.843,6.673,773
bangalore,3h,Q3,[49.7 - 74.5],61.75,9.449,7.496,773
bangalore,3h,Q4,[74.5 - 105.4],90.31,8.912,6.837,773
bangalore,3h,Q5 (Highest),[105.4 - 162.4],122.21,9.632,7.237,774
bangalore,6h,Q1 (Lowest),[-6.3 - 24.4],12.08,8.003,5.771,774
bangalore,6h,Q2,[24.4 - 50.1],37.24,8.903,6.691,773
bangalore,6h,Q3,[50.1 - 75.2],62.12,9.985,7.778,773
bangalore,6h,Q4,[75.2 - 105.4],90.57,10.379,8.286,773
bangalore,6h,Q5 (Highest),[105.4 - 162.4],122.07,9.2,7.201,774
lucknow,1h,Q1 (Lowest),[51.7 - 74.3],64.92,4.562,2.915,774
lucknow,1h,Q2,[74.3 - 94.4],84.01,5.929,4.017,773
lucknow,1h,Q3,[94.4 - 121.8],106.81,8.863,6.145,773
lucknow,1h,Q4,[121.8 - 157.9],138.87,10.957,8.172,773
lucknow,1h,Q5 (Highest),[157.9 - 245.6],182.34,12.29,9.552,774
lucknow,3h,Q1 (Lowest),[51.7 - 74.3],64.86,7.283,4.623,774
lucknow,3h,Q2,[74.3 - 94.4],83.94,9.164,6.339,773
lucknow,3h,Q3,[94.4 - 121.5],106.61,12.072,9.111,773
lucknow,3h,Q4,[121.5 - 157.7],138.57,14.231,11.251,773
lucknow,3h,Q5 (Highest),[157.7 - 245.6],182.14,16.345,12.717,774
lucknow,6h,Q1 (Lowest),[51.7 - 73.5],64.55,14.133,7.291,774
lucknow,6h,Q2,[73.5 - 93.6],83.2,12.633,7.87,773
lucknow,6h,Q3,[93.6 - 121.3],106.02,14.796,11.358,773
lucknow,6h,Q4,[121.3 - 157.4],138.47,17.466,13.793,773
lucknow,6h,Q5 (Highest),[157.4 - 245.6],181.81,19.066,14.993,774
colombo,1h,Q1 (Lowest),[-18.8 - 12.6],1.21,4.858,3.561,774
colombo,1h,Q2,[12.6 - 37.8],24.08,6.308,4.711,773
colombo,1h,Q3,[37.8 - 65.8],51.1,7.616,5.666,773
colombo,1h,Q4,[65.8 - 95.7],81.04,6.104,4.614,773
colombo,1h,Q5 (Highest),[95.7 - 164.7],112.72,6.767,5.217,774
colombo,3h,Q1 (Lowest),[-18.8 - 12.8],1.44,7.65,5.507,774
colombo,3h,Q2,[12.8 - 37.8],24.27,8.595,6.639,773
colombo,3h,Q3,[37.8 - 65.2],50.85,10.057,7.832,773
colombo,3h,Q4,[65.2 - 95.4],80.73,8.548,6.545,773
colombo,3h,Q5 (Highest),[95.4 - 164.7],112.63,10.771,8.01,774
colombo,6h,Q1 (Lowest),[-18.8 - 12.6],1.28,11.016,6.718,774
colombo,6h,Q2,[12.6 - 37.7],23.95,9.8,7.592,773
colombo,6h,Q3,[37.7 - 65.6],50.94,10.621,8.13,773
colombo,6h,Q4,[65.6 - 95.6],81.02,10.429,8.016,773
colombo,6h,Q5 (Highest),[95.6 - 164.7],112.52,11.257,8.61,774
