station,horizon,mean_res_overall,mean_res_calm,mean_res_storm,t_statistic,p_value,is_significant,storm_n_samples,calm_n_samples
hyderabad,1h,-0.284,-0.286,-0.218,-0.075,0.940173,False,93,3774
hyderabad,3h,1.112,1.216,-3.098,2.275,0.025171,True,93,3774
hyderabad,6h,0.352,0.538,-7.197,2.933,0.00422,True,93,3774
bangalore,1h,-0.493,-0.49,-0.616,0.148,0.883033,False,93,3774
bangalore,3h,0.994,0.904,4.651,-2.548,0.012464,True,93,3774
bangalore,6h,-0.13,-0.187,2.218,-1.485,0.140791,False,93,3774
lucknow,1h,0.602,0.758,-5.715,3.611,0.000493,True,93,3774
lucknow,3h,0.905,1.114,-7.581,4.333,3.7e-05,True,93,3774
lucknow,6h,0.594,0.667,-2.377,1.489,0.13989,False,93,3774
colombo,1h,0.696,0.652,2.469,-1.801,0.074834,False,93,3774
colombo,3h,2.805,2.765,4.409,-1.076,0.284579,False,93,3774
colombo,6h,2.396,2.26,7.911,-3.166,0.002089,True,93,3774
