station,horizon,q_global_tecu,q_calm_tecu,q_storm_tecu,storm_interval_expansion_tecu,expansion_pct,old_calm_cov_pct,old_storm_cov_pct,new_calm_cov_pct,new_storm_cov_pct,storm_cov_recovery
hyderabad,1h,11.22,11.28,15.92,4.69,41.8,93.5,81.7,93.5,90.3,8.6
hyderabad,3h,18.95,18.98,26.36,7.41,39.1,92.8,76.3,92.8,87.1,10.8
hyderabad,6h,21.46,21.48,23.71,2.26,10.5,93.5,68.8,93.5,74.2,5.4
bangalore,1h,12.03,12.08,13.76,1.72,14.3,95.5,87.1,95.6,89.2,2.2
bangalore,3h,17.6,17.31,20.24,2.64,15.0,94.7,81.7,94.4,88.2,6.5
bangalore,6h,17.45,17.31,25.6,8.15,46.7,94.4,74.2,94.2,89.2,15.1
lucknow,1h,19.53,19.53,24.07,4.54,23.3,95.2,86.0,95.2,88.2,2.2
lucknow,3h,29.2,29.36,25.02,-4.18,-14.3,95.7,83.9,95.9,80.6,-3.2
lucknow,6h,31.16,31.25,20.66,-10.49,-33.7,93.6,87.1,93.6,84.9,-2.2
colombo,1h,12.07,11.93,23.37,11.3,93.6,93.3,77.4,93.2,96.8,19.4
colombo,3h,17.65,17.58,21.78,4.13,23.4,94.8,72.0,94.7,81.7,9.7
colombo,6h,17.64,17.42,29.0,11.36,64.4,92.3,63.4,92.1,87.1,23.7
