station,horizon,rank,timestamp,actual_tecu,predicted_tecu,error_tecu,abs_error_tecu,kp_index,imf_bz,dst_index
hyderabad,1h,1,2023-03-24 15:00:00,11.1,91.58,-80.48,80.48,3.7,-1.5,-73.0
hyderabad,1h,2,2023-03-24 14:00:00,24.82,99.48,-74.66,74.66,2.3,-3.3,-78.0
hyderabad,1h,3,2023-03-24 16:00:00,9.78,77.01,-67.23,67.23,3.7,-2.7,-74.0
hyderabad,1h,4,2023-03-24 13:00:00,34.28,99.43,-65.16,65.16,2.3,-2.7,-82.0
hyderabad,1h,5,2023-04-24 14:00:00,11.43,74.59,-63.16,63.16,3.7,9.4,-112.0
hyderabad,1h,6,2023-04-24 15:00:00,3.39,65.94,-62.55,62.55,3.0,7.8,-99.0
hyderabad,1h,7,2023-03-24 12:00:00,41.49,102.87,-61.38,61.38,2.3,-4.7,-86.0
hyderabad,1h,8,2023-04-24 16:00:00,-1.93,56.74,-58.67,58.67,3.0,22.5,-96.0
hyderabad,1h,9,2023-03-24 11:00:00,59.36,115.88,-56.53,56.53,4.0,-5.5,-95.0
hyderabad,1h,10,2023-03-24 10:00:00,66.1,121.67,-55.57,55.57,4.0,-5.2,-101.0
hyderabad,3h,1,2023-03-25 08:00:00,142.36,60.27,82.09,82.09,3.7,-1.3,-39.0
hyderabad,3h,2,2023-03-25 07:00:00,146.27,74.6,71.66,71.66,3.7,-2.7,-37.0
hyderabad,3h,3,2023-03-25 09:00:00,117.81,57.77,60.04,60.04,3.7,-2.3,-39.0
hyderabad,3h,4,2023-03-25 06:00:00,140.96,83.37,57.59,57.59,3.7,2.5,-43.0
hyderabad,3h,5,2023-03-24 08:00:00,66.1,122.1,-56.0,56.0,6.3,3.0,-132.0
hyderabad,3h,6,2023-03-24 21:00:00,-3.42,49.67,-53.09,53.09,4.3,-2.9,-64.0
hyderabad,3h,7,2023-03-24 10:00:00,41.49,93.47,-51.99,51.99,4.0,-5.2,-101.0
hyderabad,3h,8,2023-03-24 20:00:00,-5.64,44.68,-50.32,50.32,4.7,-2.5,-68.0
hyderabad,3h,9,2023-04-24 12:00:00,11.43,60.05,-48.62,48.62,3.7,1.7,-118.0
hyderabad,3h,10,2023-04-24 13:00:00,3.39,51.5,-48.11,48.11,3.7,7.5,-118.0
hyderabad,6h,1,2024-04-21 23:00:00,24.22,139.24,-115.03,115.03,3.0,1.4,-52.0
hyderabad,6h,2,2024-04-16 23:00:00,6.18,117.43,-111.25,111.25,5.0,-2.6,-59.0
hyderabad,6h,3,2024-03-22 23:00:00,3.5,114.09,-110.6,110.6,0.3,5.6,-15.0
hyderabad,6h,4,2024-05-21 23:00:00,0.95,98.31,-97.37,97.37,1.3,4.7,-14.0
hyderabad,6h,5,2024-04-21 22:00:00,22.65,119.74,-97.09,97.09,3.0,0.1,-58.0
hyderabad,6h,6,2024-03-01 23:00:00,-2.23,92.59,-94.81,94.81,0.7,-3.3,-12.0
hyderabad,6h,7,2024-05-02 23:00:00,1.76,94.65,-92.88,92.88,4.0,-1.3,-53.0
hyderabad,6h,8,2024-04-16 22:00:00,6.13,97.06,-90.93,90.93,5.0,-4.9,-59.0
hyderabad,6h,9,2024-03-22 22:00:00,3.08,88.47,-85.39,85.39,0.3,5.3,-17.0
hyderabad,6h,10,2023-11-20 23:00:00,-8.15,72.34,-80.49,80.49,1.0,-0.2,21.0
bangalore,1h,1,2023-03-24 15:00:00,39.62,98.15,-58.53,58.53,3.7,-1.5,-73.0
bangalore,1h,2,2023-03-24 14:00:00,55.0,107.47,-52.48,52.48,2.3,-3.3,-78.0
bangalore,1h,3,2023-03-24 13:00:00,63.71,103.73,-40.03,40.03,2.3,-2.7,-82.0
bangalore,1h,4,2023-03-24 16:00:00,40.56,78.13,-37.57,37.57,3.7,-2.7,-74.0
bangalore,1h,5,2023-03-24 12:00:00,75.69,111.1,-35.41,35.41,2.3,-4.7,-86.0
bangalore,1h,6,2023-03-24 17:00:00,32.31,66.4,-34.1,34.1,3.7,-3.8,-68.0
bangalore,1h,7,2023-03-25 09:00:00,149.9,116.16,33.74,33.74,3.7,-2.3,-39.0
bangalore,1h,8,2023-04-24 13:00:00,47.89,80.89,-33.0,33.0,3.7,7.5,-118.0
bangalore,1h,9,2023-03-24 11:00:00,90.75,121.96,-31.21,31.21,4.0,-5.5,-95.0
bangalore,1h,10,2023-03-25 10:00:00,139.97,109.01,30.96,30.96,3.7,1.1,-42.0
bangalore,3h,1,2023-03-25 09:00:00,124.96,68.57,56.39,56.39,3.7,-2.3,-39.0
bangalore,3h,2,2023-03-25 08:00:00,139.97,84.67,55.29,55.29,3.7,-1.3,-39.0
bangalore,3h,3,2023-11-05 20:00:00,39.98,-11.75,51.73,51.73,6.7,-9.1,-149.0
bangalore,3h,4,2023-03-25 07:00:00,149.9,103.18,46.71,46.71,3.7,-2.7,-37.0
bangalore,3h,5,2023-11-05 21:00:00,43.21,-1.26,44.47,44.47,4.7,-2.4,-159.0
bangalore,3h,6,2023-03-24 21:00:00,7.49,46.68,-39.19,39.19,4.3,-2.9,-64.0
bangalore,3h,7,2023-11-05 19:00:00,27.25,-11.76,39.01,39.01,6.7,-7.5,-163.0
bangalore,3h,8,2023-04-23 17:00:00,11.53,49.48,-37.94,37.94,5.3,-8.0,-61.0
